order_id,product,category,quantity,price,order_date,region
1102,Desk Chair,Furniture,4,480.0,2025-07-28,Malaysia
1103,Pen Set,Stationery,4,12.0,2025-09-12,Thailand
1104,Sneakers,Footwear,2,110.0,2025-08-07,Singapore
1105,Red Mug,Home,5,37.5,2025-08-28,Philippines
1106,Laptop Stand,Electronics,5,200.0,2025-08-04,Indonesia
1107,Desk Chair,Furniture,5,600.0,2025-08-02,Singapore
1108,Water Bottle,Outdoors,3,36.0,2025-07-18,Indonesia
1109,Notebook,Stationery,5,25.0,2025-06-20,Singapore
1110,Backpack,Outdoors,3,105.0,2025-08-15,Vietnam
1111,Pen Set,Stationery,2,6.0,2025-06-27,Vietnam
1112,Red Mug,Home,3,22.5,2025-09-07,Singapore
1113,Desk Chair,Furniture,2,240.0,2025-08-28,Indonesia
1114,Water Bottle,Outdoors,5,60.0,2025-08-15,Indonesia
1115,Water Bottle,Outdoors,2,24.0,2025-07-16,Vietnam
1116,Blue T-Shirt,Apparel,2,30.0,2025-08-08,Indonesia
1117,Red Mug,Home,2,15.0,2025-08-23,Singapore
1118,Desk Chair,Furniture,2,240.0,2025-07-17,Thailand
1119,Blue T-Shirt,Apparel,5,75.0,2025-07-02,Indonesia
1120,Headphones,Electronics,3,195.0,2025-08-17,Singapore
1121,Water Bottle,Outdoors,3,36.0,2025-08-12,Singapore
1122,Blue T-Shirt,Apparel,5,75.0,2025-08-09,Malaysia
1123,Blue T-Shirt,Apparel,3,45.0,2025-09-13,Vietnam
1124,Pen Set,Stationery,3,9.0,2025-08-18,Singapore
1125,Blue T-Shirt,Apparel,5,75.0,2025-07-19,Singapore
1126,Blue T-Shirt,Apparel,2,30.0,2025-08-23,Thailand
1127,Pen Set,Stationery,2,6.0,2025-08-27,Vietnam
1128,Red Mug,Home,5,37.5,2025-08-04,Indonesia
1129,Water Bottle,Outdoors,2,24.0,2025-08-23,Singapore
1130,Blue T-Shirt,Apparel,3,45.0,2025-08-18,Thailand
1131,Blue T-Shirt,Apparel,3,45.0,2025-07-17,Malaysia
1132,Pen Set,Stationery,5,15.0,2025-06-23,Indonesia
1133,Headphones,Electronics,4,260.0,2025-07-02,Singapore
1134,Sneakers,Footwear,5,275.0,2025-09-11,Philippines
1135,Pen Set,Stationery,4,12.0,2025-07-07,Thailand
1136,Laptop Stand,Electronics,1,40.0,2025-06-21,Indonesia
1137,Laptop Stand,Electronics,1,40.0,2025-08-06,Indonesia
1138,Sneakers,Footwear,1,55.0,2025-08-13,Philippines
1139,Sneakers,Footwear,4,220.0,2025-08-02,Malaysia
1140,Notebook,Stationery,5,25.0,2025-07-24,Singapore
1141,Backpack,Outdoors,2,70.0,2025-08-05,Malaysia
1142,Sneakers,Footwear,2,110.0,2025-06-21,Malaysia
1143,Notebook,Stationery,3,15.0,2025-09-04,Vietnam
1144,Desk Chair,Furniture,5,600.0,2025-09-08,Singapore
1145,Laptop Stand,Electronics,2,80.0,2025-07-16,Malaysia
1146,Water Bottle,Outdoors,2,24.0,2025-07-19,Vietnam
1147,Red Mug,Home,5,37.5,2025-08-26,Malaysia
1148,Pen Set,Stationery,4,12.0,2025-06-26,Vietnam
1149,Pen Set,Stationery,5,15.0,2025-08-21,Thailand
1150,Red Mug,Home,4,30.0,2025-07-23,Philippines
